START 	 ~ 	 0.31287128712871287
START 	 @ 	 0.4315245478036176
START 	 V 	 0.03680203045685279
START 	 ^ 	 0.0750256937307297
START 	 # 	 0.11904761904761904
START 	 L 	 0.15444015444015444
START 	 ! 	 0.1570048309178744
START 	 N 	 0.029605263157894735
START 	 , 	 0.008672086720867209
START 	 D 	 0.0323846908734053
START 	 O 	 0.07640878701050621
START 	 A 	 0.04955527318932656
START 	 G 	 0.05
START 	 S 	 0.1875
START 	 P 	 0.015475313190862197
START 	 E 	 0.05521472392638037
START 	 R 	 0.047685834502103785
START 	 $ 	 0.03619909502262444
START 	 X 	 0.1111111111111111
START 	 U 	 0.01171875
START 	 & 	 0.012048192771084338
START 	 M 	 0.5
START 	 Z 	 0.027777777777777776
START 	 END 	 1.0
~ 	 @ 	 0.3087855297157623
~ 	 O 	 0.026743075453677174
~ 	 U 	 0.1484375
~ 	 ~ 	 0.033663366336633666
~ 	 # 	 0.06547619047619048
~ 	 X 	 0.16666666666666666
~ 	 END 	 25.0
~ 	 A 	 0.011435832274459974
~ 	 P 	 0.0058953574060427415
~ 	 , 	 0.008672086720867209
~ 	 V 	 0.008883248730964468
~ 	 $ 	 0.01809954751131222
~ 	 D 	 0.009813542688910697
~ 	 L 	 0.02702702702702703
~ 	 ^ 	 0.023638232271325797
~ 	 & 	 0.004016064257028112
~ 	 ! 	 0.03864734299516908
~ 	 R 	 0.014025245441795231
~ 	 N 	 0.006109022556390977
~ 	 E 	 0.024539877300613498
~ 	 G 	 0.00625
~ 	 Z 	 0.027777777777777776
@ 	 ~ 	 0.3722772277227723
@ 	 O 	 0.06685768863419293
@ 	 ! 	 0.24154589371980675
@ 	 E 	 0.04294478527607362
@ 	 A 	 0.021601016518424398
@ 	 , 	 0.02168021680216802
@ 	 P 	 0.014738393515106854
@ 	 @ 	 0.09948320413436693
@ 	 V 	 0.025380710659898477
@ 	 L 	 0.09266409266409266
@ 	 D 	 0.012757605495583905
@ 	 N 	 0.01550751879699248
@ 	 U 	 0.0546875
@ 	 END 	 24.0
@ 	 # 	 0.05357142857142857
@ 	 ^ 	 0.022610483042137718
@ 	 R 	 0.043478260869565216
@ 	 G 	 0.04375
@ 	 & 	 0.040160642570281124
@ 	 S 	 0.0625
@ 	 $ 	 0.02262443438914027
@ 	 X 	 0.1111111111111111
O 	 V 	 0.26776649746192893
O 	 ^ 	 0.010277492291880781
O 	 P 	 0.03537214443625645
O 	 , 	 0.055284552845528454
O 	 D 	 0.022571148184494603
O 	 ~ 	 0.011881188118811881
O 	 R 	 0.12201963534361851
O 	 N 	 0.009868421052631578
O 	 A 	 0.030495552731893267
O 	 & 	 0.07228915662650602
O 	 END 	 16.0
O 	 E 	 0.05521472392638037
O 	 O 	 0.021967526265520534
O 	 G 	 0.025
O 	 T 	 0.102803738317757
O 	 $ 	 0.004524886877828055
O 	 U 	 0.0078125
